NU_INSCRICAO,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
210062141100,2024,2,F,1,1,1,3,0,,1,3523107,Itaquaquecetuba,35,SP,E,E,D,D,2,A,E,A,B,B,A,A,B,A,B,B,A,B,A,A,B,C,A
210062142076,2024,2,F,1,1,1,3,0,,1,3523107,Itaquaquecetuba,35,SP,A,D,B,B,4,A,F,A,D,D,A,A,B,A,B,A,A,B,B,B,A,D,D
210062146404,2024,2,F,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,D,C,C,C,4,A,E,A,B,D,B,A,B,A,B,B,A,C,A,B,B,D,A
210062147621,2024,2,F,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,E,C,D,5,A,B,A,C,C,B,A,B,A,A,B,A,B,A,B,A,D,A
210062150512,2024,3,F,1,1,1,1,1,,0,3523107,Itaquaquecetuba,35,SP,B,B,B,B,5,A,B,A,B,C,A,A,B,A,A,A,B,A,A,B,A,B,A
210062152872,2024,3,M,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,H,H,F,F,1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
210062153744,2024,3,F,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,H,E,F,B,4,B,C,A,B,C,A,A,B,A,B,B,A,B,A,B,A,D,A
210062155647,2024,6,F,1,1,1,1,3,,0,3523107,Itaquaquecetuba,35,SP,B,B,C,B,5,B,C,A,C,D,B,B,B,A,B,B,B,C,A,B,A,E,A
210062156096,2024,3,M,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,B,E,D,D,4,A,G,B,C,D,C,A,B,A,B,B,A,A,A,B,C,D,A
210062156514,2024,3,F,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,C,H,C,D,4,B,F,A,D,D,D,A,C,A,B,B,A,D,B,B,B,E,A
